ISO3,Country,BCP sequestration in EEZ (GtC/year),Area.EEZ (km2),Carbon/area (tC/km2),BCP sequestration in MPA (GtC),Area.MPA (km2),Present value of BCP sequestration to 2050 (US$),Present value of BCP sequestration to 2030 (US$),GDP (US$),Annual value of BCP sequestration in EEZ (US$),gdp.ratio,gdp.percentage,Region,Income.group,Lending,Other,Continent,Sovereign.ISO,Territory,Name,Sovereign2,Sovereign3,Territory.ISO,SIDS
LBY,Libya,0.007,"364,524",20.57015597,,,"51,238,061,649","16,014,580,290",45752336036,"2,474,444,127 USD",0.054083449,5.41,Middle East & North Africa,Upper middle,IBRD,None,Africa,LBY,Libya,Libyan Exclusive Economic Zone,,,LBY,
MDG,Madagascar,0.003,"1,196,285",2.78,0.000018,9985.2,"22,760,920,859","7,113,980,951",14954967604,"1,099,195,112 USD",0.073500334,7.35,Sub-Saharan Africa,Low,IDA,HIPC,Africa,,,,,,,
MYS,Malaysia,0.00110893,"510,804",2.17,0.000054,24816.11,"7,577,624,926","2,368,405,027",4.06E+11,"365,946,894 USD",0.000900668,0.09,East Asia & Pacific,Upper middle,IBRD,None,Asia,,,,,,,
MDV,Maldives,0.011633297,"920,739",12.63473952,0.00000785,623.07,"79,493,535,316","24,845,897,031",6189865408,"3,838,988,151 USD",0.620205432,62,South Asia,Upper middle,IDA,None,Asia,,,,,,,1
MLT,Malta,0.001556727,"52,923",29.41494443,0.000321246,11014.95,"10,637,546,385","3,324,790,892",17765270015,"513,719,944 USD",0.028917092,2.89,Middle East & North Africa,High,None,None,Europe,,,,,,,
MHL,Marshall Islands,0.008845072,"2,050,000",4.31,0.0000239,7247.97,"60,440,821,886","18,890,925,295",279667900,"2,918,873,820 USD",10.4369283,1044,East Asia & Pacific,Upper middle,IDA,None,Oceania,,,,,,,1
MRT,Mauritania,0.004,"173,180",22.76597007,0.000159326,12860,"26,940,948,129","8,420,458,601",10375460680,"1,301,061,530 USD",0.125397953,13,Sub-Saharan Africa,Lower middle,IDA,HIPC,Africa,,,,,,,
MUS,Mauritius,0.007,"1,278,182",5.712204133,9.58E-08,45.06,"49,891,366,171","15,593,667,356",12898307089,"2,409,408,046 USD",0.186800332,19,Sub-Saharan Africa,Upper middle,IBRD,None,Africa,MUS,Republic of Mauritius,Mauritian Exclusive Economic Zone,,,MUS,1
MEX,Mexico,0.030789336,"3,187,013",9.660875619,0.006857384,719655.38,"210,000,000,000","65,758,541,920",1.41E+12,"10,160,480,943 USD",0.007184665,0.72,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,
MNE,Montenegro,0.00004,"6,383",6.269581422,,,"273,459,094","85,470,302",6095978868,"13,206,184 USD",0.002166376,0.22,Europe & Central Asia,Upper middle,IBRD,None,Europe,MNE,Montenegro,Montenegrin Exclusive economic Zone,,,MNE,
MAR,Morocco,0.002,"280,452",5.380317912,0.0000452,1177.74,"10,310,873,517","3,222,688,495",1.34E+11,"497,943,903 USD",0.003710959,0.37,Middle East & North Africa,Lower middle,IBRD,None,Africa,,,,,,,
MOZ,Mozambique,0.002,"566,292",3.09,0.0000158,9430.7,"11,938,339,239","3,731,356,849",17851491428,"576,539,246 USD",0.032296419,3.23,Sub-Saharan Africa,Low,IDA,HIPC,Africa,,,,,,,
MMR,Myanmar,0.004548515,"497,460",9.143479261,0.0000029,675.32,"31,081,260,955","9,714,523,404",59364362541,"1,501,010,014 USD",0.025284699,2.53,East Asia & Pacific,Lower middle,IDA,None,Asia,,,,,,,
NAM,Namibia,0.014,"562,212",25.2432677,0.0000596,9390,"96,978,321,678","30,310,809,364",12607436976,"4,683,382,446 USD",0.37147776,37,Sub-Saharan Africa,Upper middle,IBRD,None,Africa,,,,,,,
NRU,Nauru,0.002013181,"309,261",6.509649253,,,"13,756,619,489","4,299,664,746",150922211,"664,349,611 USD",4.40193399,440,East Asia & Pacific,High,IBRD,None,Oceania,NRU,Nauru,Nauruan Exclusive Economic Zone,,,NRU,1
NLD,Netherlands,0.000563712,"144,878",3.89,0.000165977,56444.15,"3,852,002,120","1,203,952,594",9.91E+11,"186,025,070 USD",0.000187693,0.02,Europe & Central Asia,High,None,None,Europe,,,,,,,
NZL,New Zealand,0.035752087,"4,695,188",7.614623041,0.008069356,1058911.31,"244,000,000,000","76,357,771,379",2.47E+11,"11,798,188,619 USD",0.047720737,4.77,East Asia & Pacific,High,None,None,Oceania,,,,,,,
NIC,Nicaragua,0.002565473,"213,813",11.9986779,0.0000525,7341.6,"17,530,587,958","5,479,227,733",15671583878,"846,606,195 USD",0.054021738,5.4,Latin America & Caribbean,Lower middle,IDA,HIPC,Americas,,,,,,,
NGA,Nigeria,0.002,"179,048",12.32761068,,,"15,082,639,972","4,714,115,660",4.77E+11,"728,387,232 USD",0.001525783,0.15,Sub-Saharan Africa,Lower middle,Blend,None,Africa,NGA,Nigeria,Nigerian Exclusive Economic Zone,,,NGA,
NIU,Niue,0.000514955,"321,018",1.6,0.000199465,130000.34,"3,518,827,185","1,099,817,961",30510000,"169,935,025 USD",5.569813978,557,,Low,None,None,Oceania,,,,,,,1
NOR,Norway,0.010771371,"2,022,997",5.324462381,0.000260841,160796.52,"73,603,756,800","23,005,032,488",5.79E+11,"3,554,552,570 USD",0.006136294,0.61,Europe & Central Asia,High,None,None,Europe,,,,,,,
OMN,Oman,0.014782091,"556,490",26.5630841,0.000074,1193.2,"101,000,000,000","31,570,954,408",1.15E+11,"4,878,089,922 USD",0.042541358,4.25,Middle East & North Africa,High,None,None,Asia,,,,,,,
PAK,Pakistan,0.003384331,"224,374",15.08343766,,,"23,126,070,377","7,228,109,318",3.77E+11,"1,116,829,310 USD",0.002966086,0.3,South Asia,Lower middle,Blend,None,Asia,PAK,Pakistan,Pakistani Exclusive Economic Zone,,,PAK,
PLW,Palau,0.002529223,"616,021",4.11,0.002509131,607459.91,"17,282,881,000","5,401,806,323",217800000,"834,643,662 USD",3.832156389,383,East Asia & Pacific,Upper middle,IBRD,None,Oceania,,,,,,,1
