ISO3,Country,BCP sequestration in EEZ (GtC/year),Area.EEZ (km2),Carbon/area (tC/km2),BCP sequestration in MPA (GtC),Area.MPA (km2),Present value of BCP sequestration to 2050 (US$),Present value of BCP sequestration to 2030 (US$),GDP (US$),Annual value of BCP sequestration in EEZ (US$),gdp.ratio,gdp.percentage,Region,Income.group,Lending,Other,Continent,Sovereign.ISO,Territory,Name,Sovereign2,Sovereign3,Territory.ISO,SIDS
TZA,Tanzania,0.003,"241,567",10.4736229,0.0000448,6092.5,"17,288,747,003","5,403,639,757",75709289056,"834,926,949 USD",0.011028065,1.1,Sub-Saharan Africa,Lower middle,IDA,HIPC,Africa,TZA,Tanzania,Tanzanian Exclusive Economic Zone,,,TZA,
THA,Thailand,0.000339451,"298,683",1.14,4.07E-11,3140.6,"2,319,561,361","724,984,522",4.95E+11,"112,018,777 USD",0.000226145,0.02,East Asia & Pacific,Upper middle,IBRD,None,Asia,,,,,,,
TGO,Togo,0,"15,447",18.75494018,,,"1,979,651,803","618,744,967",8126439481,"95,603,495 USD",0.0117645,1.18,Sub-Saharan Africa,Low,IDA,HIPC,Africa,TGO,Togo,Togolese Exclusive Economic Zone,,,TGO,
TON,Tonga,0.001375546,"664,453",2.07,0.000000867,386.94,"9,399,486,508","2,937,832,278",469228124.2,"453,930,212 USD",0.967397708,97,East Asia & Pacific,Upper middle,IDA,None,Oceania,,,,,,,1
TTO,Trinidad and Tobago,0.000344084,"76,562",4.49,5.32E-08,7.5,"2,351,222,184","734,880,189",27899082337,"113,547,776 USD",0.004069947,0.41,Latin America & Caribbean,High,IBRD,None,Americas,,,,,,,1
TUN,Tunisia,0.001,"99,701",14.32625859,0.00000694,904.97,"9,760,257,605","3,050,592,158",46664948952,"471,352,962 USD",0.010100792,1.01,Middle East & North Africa,Lower middle,IBRD,None,Africa,,,,,,,
TUR,Turkey,0.000370398,"262,233",1.41,0.00000018,130.2,"2,531,034,178","791,080,864",9.06E+11,"122,231,452 USD",0.000134915,0.01,Europe & Central Asia,Upper middle,IBRD,None,Asia,,,,,,,
TUV,Tuvalu,0.00234744,"753,139",3.12,0.000000525,180.6,"16,040,704,421","5,013,561,024",60349391.1,"774,655,121 USD",12.83617128,1284,East Asia & Pacific,Upper middle,IDA,None,Oceania,,,,,,,1
GBR,UK,0.019729141,"4,088,498",4.83,0.023438037,3399837.34,"135,000,000,000","42,136,651,326",3.07E+12,"6,510,616,420 USD",0.002120259,0.21,Europe & Central Asia,High,None,None,Europe,GBR,Cayman Islands,Cayman Islands Exclusive Economic Zone,,,CYM,
USA,United States,0.0796456,"10,300,000",7.73,0.022416097,6567841.1,"544,000,000,000","170,000,000,000",2.55E+13,"26,283,047,948 USD",0.001032218,0.1,North America,High,None,None,Americas,USA,Puerto Rico,Overlapping claim: Puerto Rico / Dominican Republic,Dominican Republic,,PRI,
URY,Uruguay,0.000839758,"143,092",5.868659315,0.00000145,1957.7,"5,738,299,776","1,793,519,496",71177146197,"277,120,206 USD",0.003893387,0.39,Latin America & Caribbean,High,IBRD,None,Americas,,,,,,,
VUT,Vanuatu,0.001444133,"623,424",2.32,9.95E-08,10.25,"9,868,158,166","3,084,316,740",983582864.6,"476,563,813 USD",0.484518214,48,East Asia & Pacific,Lower middle,IDA,None,Oceania,,,,,,,1
VNM,Vietnam,0.004154377,"750,958",5.532102575,0.00000801,16938.3,"28,388,003,642","8,872,739,307",4.09E+11,"1,370,944,306 USD",0.003353566,0.34,East Asia & Pacific,Lower middle,IBRD,None,Asia,VNM,Vietnam,Vietnamese Exclusive Economic Zone,,,VNM,
