Continent,N,BCE Areas (km²),Mean BCE,SE (mean),Std BCE,EEZ (km²),Avg. EEZ (km²),BCEs Areas by EEZ (%)
Asia,34,125615.57,3694.575588235294,962.4717270672304,5612.126340677696,45958440.848002,1351718.8484706471,0.2733242635785827
Caribbean,30,102095.04,3403.1679999999997,2723.5193970402656,14917.330095618223,3210387.3737561,107012.91245853667,3.1801470699328878
Africa,39,100379.6,2573.8358974358976,730.5665485400428,4562.386633329394,31097615.41429,797374.7542125641,0.32278873689419124
Oceania,22,96372.52,4380.569090909091,2917.4703286472663,13684.148808304379,48101849.0335,2186447.683340909,0.20035096765798427
Americas,25,88427.3,3537.092,1179.5699864784058,5897.849932392029,65631941.56066,2625277.6624264,0.13473211045916036
Europe,28,26307.63,939.5582142857144,361.3494222747852,1912.0814154718908,35652178.0361761,1273292.072720575,0.07378968536874737
