ISO,Continent,Groups,EEZ Area (km²),Saltmarshes Area (km²),Seagrasses Area (km²),Mangroves Area (km²),Total BCEs Area (km²),Saltmarshes Sequestration (tC),Saltmarshes SE,Seagrasses Sequestration (tC),Seagrasses SE,Mangroves Sequestration (tC),Mangroves SE,Total BCEs Sequestration (tC),Total BCEs SE (tC),BCP Sequestration (tC),Total Blue Carbon Sequestration (tC),Total Blue Carbon Sequestration SE
BRN,Asia,Developing economies,48853.87613,,,109.8247266832,109.8247266832,,,,,20346.822,178.4780635851898,20346.822265625,178.4780635851898,284649.0,304995.8125,178.4780635851898
BGR,Europe,Developed economies,145697.603,0.3155953668,,,0.3155953668,53.02002,0.0,,,,,53.02001953125,0.0,,53.02001953125,0.0
BFA,Africa,LDCs,273981.2237,,,,,,,,,,,,,,,
BDI,Africa,LDCs,26832.74372,,,,,,,,,,,,,,,
KHM,Asia,LDCs,230091.0526,,,622.0971799122,622.0971799122,,,,,115253.66,1010.980848901067,115253.65625,1010.980848901067,,115253.65625,1010.980848901067
CMR,Africa,Developing economies,480130.3404,,,1970.7793647354,1970.7793647354,,,,,365119.03,3202.747682017635,365119.03125,3202.747682017635,0.0,365119.03125,3202.747682017635
CAN,Americas,Developed economies,15700139.08,1114.0426138559,338.0805509232,,1452.1231647791,187159.12,0.0002209763935996,73959.4375,468.06416852574057,,,261118.59375,468.0641461222215,16890002.0,17151122.0,468.0642133327756
ES-CN,Africa,,453419.4586,,2062.5431310577,,2062.5431310577,,,451207.6875,2855.5402030461555,,,451207.6875,2855.5402030461555,,451207.6875,2855.5402030461555
CPV,Africa,SIDS,806027.0356,,,,,,,,,,,,,12000000.0,12000000.0,0.0
CYM,Caribbean,SIDS,118567.3013,,44.9848554788,44.3153331966,89.3001886754,,,9841.01171875,62.28042234531149,8210.14,72.0176126998594,18051.1484375,95.11540467353493,,18051.1484375,95.11540467353493
CAF,Africa,LDCs,620252.6857,,,,,,,,,,,,,,,
ES-CE,Africa,,53.21027835,,,,,,,,,,,,,,,
TCD,Africa,LDCs,1270766.578,,,,,,,,,,,,,,,
ES-CHAF,Africa,,26.11627785,,,,,,,,,,,,,,,
IO,Africa,,647738.231,,,,,,,,,,,,,7522878.0,7522879.0,0.0070712445951901
CHL-1,Americas,Developing economies,3244211.698,9.2112564191,,,9.2112564191,1547.4912,1.726378074997601e-06,,,,,1547.4912109375,1.726378074997601e-06,63103556.00000001,63105088.0,0.1131399135230427
CHN,Asia,Developing economies,10340834.12,5421.2208431855,8075.0073487158,206.55837377,13702.7865656713,910765.2,0.0008839055743987,1766511.0,11179.64830419422,38268.31,335.6815898946049,2715544.25,11183.99704332737,5103023.0,7818567.5,11183.996563268436
CXR,Oceania,Developed economies,328133.6411,,158.4675802562,,158.4675802562,,,34666.8046875,219.39444397509783,,,34666.8046875,219.39444397509783,,34666.8046875,219.39444397509783
CP,Americas,,435659.2121,,,,,,,,,,,,,,,
CCK,Oceania,Developed economies,467456.8656,,215.1809427618,,215.1809427618,,,47073.58203125,297.91271971030085,,,47073.58203125,297.91271971030085,,47073.58203125,297.91271971030085
MAF,Caribbean,Developing economies,1155.029918,,48.6839978735,0.0103011623,48.6942990358,,,10650.24609375,67.40179367590699,1.9084584,0.0167405963772457,10652.1552734375,67.40175964305493,,10652.1552734375,67.40175964305493
COL,Americas,Developing economies,1855095.355,,430.8488816356,2784.0928490099,3214.9417306455,,,94253.6953125,596.4996503069225,515798.62,4524.4772127710185,610052.3125,4562.412215808746,8714865.0,9324918.0,4562.412215808746
CO-QS,Caribbean,,4008.865682,,,,,,,,,,,,,,,
COM,Africa,SIDS,166148.6598,,1265.1507921094,0.9699378602,1266.1207299696,,,276767.90625,1751.5700204881884,179.69682,1.5762627414906154,276947.59375,1751.5675299812006,1000000.0,1276947.625,1751.5675299812006
COK,Oceania,SIDS,1969814.156,,,0.0327153751,0.0327153751,,,,,6.061057,0.0531663229440852,6.061057090759277,0.0531663229440852,4756571.0,4756576.5,0.0533399159385503
CRI,Americas,Developing economies,632867.9047,,,368.211787166,368.211787166,,,,,68217.24,598.387289873368,68217.2421875,598.387289873368,11540220.0,11608438.0,598.3873249218531
HRV,Europe,Developed economies,112170.1033,5.3796232593,299.6174028317,,304.997026091,903.7768,4.3159451874940027e-07,65545.140625,414.8129016969104,,,66448.90625,414.8129143366862,39100.0,105548.9140625,414.8129143366862
ATF-3,Africa,Developing economies,575821.6657,,,,,,,,,,,,,,,
CUB,Caribbean,SIDS,462964.0389,,13906.1906719471,,13906.1906719471,,,3042156.75,19252.77755814175,,,3042156.75,19252.77755814175,1736817.0,4778973.5,19252.77755814175
