Continent,Blue Carbon Pump (MtC),Saltmarshes (MtC),Seagrasses (MtC),Mangroves (MtC)
Africa,157.522878,0.023876260000000003,15.830089112792969,5.164408527276
Americas,328.605394,4.061330125,5.984199733276367,6.83595177099
Asia,153.5396150799,0.9740721971,19.999146899936676,5.26122517703
Caribbean,6.078712,0.0100300444,21.803208274261475,0.4389613773244
Europe,194.544997,1.850268521566,3.345787359024048,0.0
Oceania,176.859742,2.2439297833699,14.58658745703125,3.026909375634
