ISO,country_name,Continent,Groups,E,S_BCE,S_ALL,NetCO2_BCE,NetCO2_ALL,Delta_NetCO2,cBCW,Total BCW,Coverage_BCE,Coverage_ALL,Delta_Coverage,Debt (2015 US$),Debt_to_GDP,Relief_BCE,Relief_ALL,Delta_Relief,Quadrant_BCE,Quadrant_ALL,switch_sink_status,switch_quadrant
GRD,Grenada,Caribbean,SIDS,339363.0,9513.28125,518424.6145833333,-329849.71875,179061.6145833333,508911.3333333333,5324787.5,290097792.0,0.028040201841283488,1.5276479373854215,1.499607735544138,548992148.845,0.4763099565507647,0.009696630744603571,0.5284162135465097,0.5187195828019061,Source + high debt stress,Sink + high debt stress,True,True
VCT,Saint Vincent and the Grenadines,Caribbean,SIDS,237178.0,221.1592191060384,663352.4925524393,-236956.84078089395,426174.49255243933,663131.3333333333,123138.53125,371193504.0,0.0009278182520949232,2.796850868482889,2.7959230502307943,474524031.5805,0.4989798428948826,0.0002607975403726258,0.782245023097042,0.7819842255566694,Source + high debt stress,Sink + high debt stress,True,True
ATG,Antigua and Barbuda,Caribbean,SIDS,644826.0,206144.56901041666,1000931.2356770833,-438681.4309895834,356105.23567708326,794786.6666666666,115459880.0,560201024.0,0.3199866845275632,1.5525468096684827,1.2325601251409195,,,,,,Source + low debt stress,Sink + low debt stress,True,True
TLS,East Timor,Asia,SIDS,632121.0,274351.9166666666,1967655.25,-357769.0833333334,1335534.25,1693303.3333333335,153669232.0,1101195904.0,0.43444024247331736,3.1132049618389703,2.678764719365653,232074948.6145,0.12537091050419977,0.6615099645841609,4.744357431709839,4.082847467125679,Source + low debt stress,Sink + low debt stress,True,True
BRB,Barbados,Caribbean,SIDS,1191738.0,71967.91536458333,2290106.9153645835,-1119770.0846354167,1098368.9153645835,2218139.0,40315404.0,1281525888.0,0.060455187680525095,1.9217192534270917,1.8612640657465667,,,,,,Source + low debt stress,Sink + low debt stress,True,True
SUR,Suriname,Americas,SIDS,2647446.0,547675.046875,3113439.7135416665,-2099770.953125,465993.7135416665,2565764.6666666665,304938272.0,1740670720.0,0.20583923990102038,1.1749864507750667,0.9691472108740463,3055909888.8585,0.6782427779254814,0.10028571267686122,0.5701072603737452,0.46982154769688395,Source + high debt stress,Sink + high debt stress,True,True
MLT,Malta,Europe,Developed economies,1822230.0,56478.859049479164,5764477.8590494795,-1765751.1409505208,3942247.8590494795,5707999.0,31638854.0,3225680384.0,0.031028508292634923,3.163453725104386,3.1324252168117512,,,,,,Source + low debt stress,Sink + low debt stress,True,True
MOZ,Mozambique,Africa,LDCs,8023384.0,2576782.3125,9910115.645833332,-5446601.6875,1886731.645833332,7333333.333333332,1436601216.0,5540135936.0,0.31997938306775653,1.2339745081440805,0.913995125076324,50470026201.365,2.4694944572796187,0.02856938261966199,0.10987574864879517,0.08130636602913317,Source + high debt stress,Sink + high debt stress,True,True
TUV,Tuvalu,Oceania,SIDS,11500.0,60.53815714518229,8607340.538157145,-11439.461842854818,8595840.538157145,8607280.0,33706.84765625,4816434176.0,0.00523797767335139,748.464375439057,748.4591374613836,,,,,,Source + low debt stress,Sink + low debt stress,True,True
NIC,Nicaragua,Americas,Developing economies,5588379.0,4942759.708333333,14349494.041666664,-645619.291666667,8761115.041666664,9406734.333333332,2767162624.0,8030916096.0,0.8848958862906781,2.568162982131979,1.683267095841301,11448376616.284,0.7434326968176365,0.24159183069843082,0.7013734714389809,0.45978164074055006,Source + high debt stress,Sink + high debt stress,True,True
SLV,El Salvador,Americas,Developing economies,8230260.0,250954.65885416666,9787202.992187498,-7979305.341145833,1556942.9921874981,9536248.333333332,139728240.0,5475954176.0,0.03033988838505483,1.189021192147807,1.1586813037627524,17169835108.4495,0.6072515652058852,0.008178728526381537,0.31896947708074636,0.31079074855436484,Source + high debt stress,Sink + high debt stress,True,True
SEN,Senegal,Africa,LDCs,11900644.0,1188765.9895833333,12188765.989583334,-10711878.010416666,288121.98958333395,11000000.0,665933952.0,6821236224.0,0.10000092999497241,1.0243207514300066,0.9243198214350341,30162333817.608498,1.1500780562236008,0.022054036258491765,0.2261264954045005,0.20407245914600874,Source + high debt stress,Sink + high debt stress,True,True
LBR,Liberia,Africa,LDCs,771001.0,123726.30989583333,11123726.309895834,-647274.6901041666,10352725.309895834,11000000.0,68889184.0,6224190976.0,0.1596759263193914,14.426843257159161,14.26716733083977,1568933023.071,0.4370661582505238,0.04412800676912375,3.967368543636603,3.923240536867479,Source + high debt stress,Sink + high debt stress,True,True
STP,Sao Tome and Principe,Africa,SIDS,166171.0,328.6854248046875,11000328.685424805,-165842.3145751953,10834157.685424805,11000000.0,183007.75,6155484672.0,0.001968147275194047,66.19883794372383,66.19686979644864,342976152.22150004,1.086310050898044,0.0005362572507104114,17.947269859203843,17.94673360195313,Source + high debt stress,Sink + high debt stress,True,True
PAN,Panama,Americas,Developing economies,14018338.0,2475001.6041666665,16537548.270833332,-11543336.395833334,2519210.270833332,14062546.666666666,1382937088.0,9251956736.0,0.17629875352998892,1.1794523803169452,1.0031536267869563,,,,,,Source + low debt stress,Sink + low debt stress,True,True
MRT,Mauritania,Africa,LDCs,4412598.0,635762.53125,15302429.197916666,-3776835.46875,10889831.197916666,14666666.666666666,356130656.0,8563200000.0,0.14423090912195094,3.468047752095485,3.323816842973534,3475685433.226,0.4389948530835978,0.10235548494948317,2.463636160467566,2.361280675518083,Source + high debt stress,Sink + high debt stress,True,True
GAB,Gabon,Africa,Developing economies,5410930.0,1184711.1145833333,15851377.78125,-4226218.885416667,10440447.78125,14666666.666666668,659631616.0,8866701312.0,0.21785768911449457,2.928420971715184,2.710563282600689,5729015342.809,0.35332114717159085,0.11571485952134869,1.548259259661187,1.4325444001398384,Source + low debt stress,Sink + low debt stress,True,True
COK,Cook Islands,Oceania,SIDS,72832.0,22.223875999450684,17440782.55720933,-72809.77612400055,17367950.55720933,17440760.333333332,12373.9619140625,9759388672.0,0.0003036196561083286,239.46592473770818,239.46562111805207,,,,,,Source + low debt stress,Sink + low debt stress,True,True
GNQ,Equatorial Guinea,Africa,Developing economies,6141370.0,172906.72265625,22172906.72265625,-5968463.27734375,16031536.72265625,22000000.0,96272192.0,12406876160.0,0.0280142462734486,3.6102770385701644,3.582262792296716,,,,,,Source + low debt stress,Sink + low debt stress,True,True
MUS,Republic of Mauritius,Africa,SIDS,4138937.0,108438.38671875,25775105.053385414,-4030498.61328125,21636168.053385414,25666666.666666664,60736856.0,14423107584.0,0.026224477040667764,6.227494779968345,6.201270302927678,14535515568.1795,1.0183768292590765,0.004174546106593271,0.9922626820953775,0.9880881359887842,Source + high debt stress,Sink + high debt stress,True,True
LKA,Sri Lanka,Asia,Developing economies,20317522.0,2423479.208333333,30505844.874999996,-17894042.791666668,10188322.874999996,28082365.666666664,1357188224.0,17071319040.0,0.11937480884169391,1.5015496089918692,1.3821748001501752,46587994907.751,0.532691617708622,0.029108641253218326,0.36640862918868816,0.33729998793546984,Source + high debt stress,Sink + high debt stress,True,True
ISL,Iceland,Europe,Developed economies,3762450.0,16192.012532552082,32295061.345865883,-3746257.9874674478,28532611.345865883,32278869.333333332,9060611.0,18071441408.0,0.004303582106228589,8.583519574698348,8.57921599259212,,,,,,Source + low debt stress,Sink + low debt stress,True,True
NOR,Norway,Europe,Developed economies,38901000.0,49949.11653645833,39544976.11653646,-38851050.88346354,643976.1165364608,39495027.0,27980958.0,22128326656.0,0.001285420314553523,1.0165556379698875,1.0152702176553339,,,,,,Source + low debt stress,Sink + low debt stress,True,True
CRI,Costa Rica,Americas,Developing economies,8279033.5,250129.8880208333,42564269.888020836,-8028903.611979167,34285236.388020836,42314140.0,139269040.0,23817115648.0,0.03006202884321961,5.141062346466042,5.111000317622823,29463964312.3475,0.4030351906299914,0.0047504096639452405,0.808370885281756,0.8036204756178108,Source + high debt stress,Sink + high debt stress,True,True
MDV,Maldives,Asia,SIDS,2062305.0,1926549.3958333333,44581971.729166664,-135755.60416666674,42519666.729166664,42655422.33333333,1079230208.0,24948049920.0,0.9352000971573624,21.618574550751205,20.683374453593842,3020167766.9645,0.5025292785073084,0.3569486430288225,8.260091512157652,7.90314286912883,Source + high debt stress,Sink + high debt stress,True,True
SOM,Federal Republic of Somalia,Africa,LDCs,557614.0,23529.3115234375,44023529.31152344,-534084.6884765625,43465915.31152344,44000000.0,13100812.0,24634308608.0,0.04198632764436987,78.94962178741356,78.9076354597692,2282239463.9605,0.24709106172783896,0.005769054793255592,10.793947478560485,10.78817842376723,Source + low debt stress,Sink + low debt stress,True,True
AGO,Angola,Africa,LDCs,20780540.0,666197.5260416666,44666197.526041664,-20114342.473958332,23885657.526041664,44000000.0,372548032.0,24993755136.0,0.03203825028434891,2.149403872284847,2.117365622000498,43058970650.1525,0.5029630108878967,0.00865757030386155,0.58045959369667,0.5718020233928085,Source + high debt stress,Sink + high debt stress,True,True
PRT,Portugal,Europe,Developed economies,37228136.0,122574.69010416666,45602063.690104164,-37105561.309895836,8373927.690104164,45479489.0,68589496.0,25517678592.0,0.0032925294255375806,1.224935486267028,1.2216429568414906,,,,,,Source + low debt stress,Sink + low debt stress,True,True
DNK,Denmark,Europe,Developed economies,27264778.0,1135753.78125,61308921.78125,-26129024.21875,34044143.78125,60173168.0,636121600.0,34307393536.0,0.04169476418207685,2.2486874886581867,2.20699272447611,,,,,,Source + low debt stress,Sink + low debt stress,True,True
SYC,Seychelles,Africa,SIDS,551015.0,2601.6302490234375,62335934.96358235,-548413.3697509766,61784919.96358235,62333333.33333333,1448553.5,34881495040.0,0.004698015695016411,113.12927769913715,113.12457968344214,,,,,,Source + low debt stress,Sink + low debt stress,True,True
ECU,Ecuador,Americas,Developing economies,43172870.0,995904.0208333333,129133833.35416666,-42176965.979166664,85960963.35416666,128137929.33333331,554506368.0,72257019904.0,0.02295297390382313,2.9909728506932862,2.968019876789463,45725533038.4675,0.40767179603074055,0.012187520628037454,1.5802941095313032,1.5681065889032657,Source + high debt stress,Sink + high debt stress,True,True
NZL,New Zealand,Oceania,Developed economies,30119236.0,291934.7578125,131382920.42447916,-29827301.2421875,101263684.42447916,131090985.66666666,162834096.0,73517801472.0,0.009661504069383684,4.362062710096477,4.352401206027093,,,,,,Source + low debt stress,Sink + low debt stress,True,True
PER,Peru,Americas,Developing economies,55863636.0,210933.09244791666,166231843.0924479,-55652702.907552086,110368207.0924479,166020910.0,117929912.0,93018734592.0,0.0037725770664786334,2.975668674073478,2.9718960970069994,68001012912.709,0.30662131026208883,0.0017357452797243742,1.3679036022232702,1.3661678569435458,Source + low debt stress,Sink + low debt stress,True,True
CHL-1,Chile,Americas,Developing economies,77287704.0,5674.134440104166,231385379.46777344,-77282029.86555989,154097675.46777344,231379705.3333333,3175091.5,129476993024.0,7.341574067012891e-05,2.9938190261912365,2.993745610450566,,,,,,Source + low debt stress,Sink + low debt stress,True,True
CPV,Cape Verde,Africa,SIDS,534969.0,,44000000.0,,43465031.0,,,24621209600.0,,82.24776662414315,,1850841876.923,0.8356391510557877,,13.302706649312029,,Source + high debt stress,Sink + high debt stress,True,True
NAM,Namibia,Africa,Developing economies,4174205.8,,51333333.33333333,,47159127.53333333,,,28724742144.0,,12.297749056140535,,,,,,,Source + low debt stress,Sink + low debt stress,True,True
NRU,Nauru,Oceania,SIDS,57499.0,,7381663.666666666,,7324164.666666666,,,4130579200.0,,128.3790055421814,,,,,,,Source + low debt stress,Sink + low debt stress,True,True
NIU,Niue,Oceania,SIDS,7667.0,,1888168.3333333333,,1880501.3333333333,,,1056567808.0,,246.27212405516065,,,,,,,Source + low debt stress,Sink + low debt stress,True,True
