country_name,TERRITORY1,ISO,SOVEREIGN1,Continent,Groups,Population,Area_EEZ_KM2,GDP,CO2_emissions_2023,Debt (2015 US$),saltmarshes_area_km2,seagrasses_area_km2,mangroves_area_km2,uptake_total_partial,uptake_salt_mean,uptake_salt_se,uptake_seag_mean,uptake_seag_se,uptake_mang_mean,uptake_mang_se,uptake_total_mean,uptake_total_se,BCP Seq (tC),cBCW,cBCW_se,oBCW,oBCW_se,Total BCseq,Total BCseq_se,Total BCW,Total BCW_se,Area_EEZ_KM2_per_capita,GDP_per_capita,CO2_emissions_2023_per_capita,Debt (2015 US$)_per_capita,Total BCW_per_capita
Denmark,Denmark,DNK,Denmark,Europe,Developed economies,5948136.0,147744.0325,362953266629.8091,27264778.0,,304.3514896613,1182.1938121945,,1.0,51131.06,5.5244098399923235e-05,258620.0,1636.7182592421113,,,309751.03125,1636.7182592421113,16410864.0,636121600.0,4268570.580165358,33671272000.0,114283854.52684434,16720614.0,1636.7182079869392,34307397632.0,116526066.55662051,0.0248387112365958,61019.665090006194,4.583751615632191,,5767.756088966358
Djibouti,Djibouti,DJI,Djibouti,Africa,LDCs,1152944.0,28895.09636,3549091358.5237513,492543.0,2588640346.2765,,,7.0912418152,1.0,,,,,1313.7683,11.524099475596179,1313.768310546875,11.524099475596179,,2682126.0,26892.532841413373,,,1313.768310546875,11.524099475596179,2682126.0,26892.532841413373,0.025062011997113477,3078.2859865906335,0.4272046170499174,2245.2437813775,2.3263280783802163
Dominica,Dominica,DMA,Dominica,Caribbean,SIDS,66510.0,29307.45227,558681739.5701864,163060.0,451592618.9205,,513.932054341,0.0146515174,1.0,,,112429.2109375,711.52623665149,2.7144327,0.023810433538152213,112431.921875,711.52623665149,83700.0,230938224.0,1781426.4277908274,171732910.0,582879.6497932826,196131.921875,711.52623665149,402671136.0,2107100.022824532,0.4406473052172606,8399.966013684956,2.451661404300105,6789.845420545782,6054.294632386107
Dominican Republic,Dominican Republic,DOM,Dominican Republic,Caribbean,SIDS,11331265.0,398851.9321,100365578190.53175,32019646.0,39453754599.5685,,346.6886384632,190.5646372618,1.0,,,75842.5625,479.9818494586545,35305.203,309.68989163550214,111147.7734375,570.6829535239966,613543.0,227860128.0,1496431.4143098276,1258847500.0,4272661.140189285,724690.8125,570.6829535239966,1486707712.0,5208975.419367861,0.035199241399790755,8857.402786937888,2.8257785869450585,3481.8490785952404,131.2040369720415
Doumeira Islands,Doumeira Islands,DJ,Eritrea,Africa,,,245.903579,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
East Timor,East Timor,TLS,East Timor,Asia,SIDS,1384286.0,89659.78377,1851106829.1772978,632121.0,232074948.6145,,334.7823342356,8.5570678111,1.0,,,73237.9140625,463.4979014252721,1585.3364,13.906238440835777,74823.2578125,463.6778874975684,461810.0,153669232.0,1165979.3507320927,947526600.0,3216005.5483073997,536633.25,463.6778648821174,1101195904.0,3886142.9665371734,0.06476969626941254,1337.2285995649004,0.4566404630257042,167.6495670797075,795.497392879795
Easter Island,Easter Island,CL-EI,Chile,Oceania,,,729932.3374,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Ecuador,ECU,Ecuador,Americas,Developing economies,17980083.0,484248.1905,112162610913.16594,43172870.0,45725533038.4675,0.0870523702,,1465.9738155052,1.0,14.6248,1.3487328710918758e-08,,,271595.56,2382.3792197434336,271610.21875,2382.3792197434336,34946708.0,554506368.0,5559532.2269669995,71702520000.0,243365908.25763798,35218316.0,2382.3792197434336,72257019904.0,245273350.27499276,0.026932478036947885,6238.15868442687,2.4011496498653537,2543.121354805064,4018.7256034357574
Egypt,Egypt,EGY,Egypt,Africa,Developing economies,114535772.0,1226673.099,470886489666.42615,269006200.0,126887036880.218,,2438.7337198099,2.0322796169,1.0,,,533504.125,3376.366699302516,376.51297,3.302692832976971,533880.6875,3376.3615312647976,1000000.0,1096600832.0,8454478.073431715,2051767300.0,6963914.8730173595,1533880.75,3376.3615312647976,3148368384.0,13135577.562037516,0.010709956178581483,4111.261324247469,2.3486653584523793,1107.837618453543,27.488079305040177
El Salvador,El Salvador,SLV,El Salvador,Americas,Developing economies,6309624.0,115630.1488,28274665875.30024,8230260.0,17169835108.4495,,,369.4258995836,1.0,,,,,68442.17,600.3604208905751,68442.171875,600.3604208905751,2600795.0,139728240.0,1400995.474471995,5336226300.0,18111715.382464126,2669237.0,600.3604208905751,5475954688.0,18625155.907769606,0.01832599673134247,4481.196641083564,1.3043978531842786,2721.2136742933494,867.8733769238864
Equatorial Guinea,Equatorial Guinea,GNQ,Equatorial Guinea,Africa,Developing economies,1847549.0,330928.1973,9440987169.357283,6141370.0,,,,254.532945152,1.0,,,,,47156.38,413.64588537385976,47156.37890625,413.64588537385976,6000000.0,96272192.0,965280.2539595376,12310604000.0,41783488.96863021,6047156.5,413.64588537385976,12406876160.0,42114764.79399213,0.17911741301583883,5110.00637566705,3.3240633942590967,,6715.316432744138
Eritrea,Eritrea,ERI,Eritrea,Africa,LDCs,3470390.0,199286.1331,,620764.0,538148250.0205001,,16.3330002004,73.4137384352,1.0,,,3573.052490234375,22.612635727944856,13601.095,119.30594282616302,17174.146484375,121.3842731502249,,35106484.0,292696.6521287013,,,17174.146484375,121.3842731502249,35106484.0,292696.6521287013,0.05742470820282447,,0.17887442045418525,155.06852256389053,10.116005405732498
Estonia,Estonia,EST,Estonia,Europe,Developed economies,1367196.0,81842.11413,27658753938.98749,10018740.0,,3.9012615752,,,1.0,655.412,4.3159451874940027e-07,,,,,655.4119873046875,4.3159451874940027e-07,,1344752.625,4564.232632989664,,,655.4119873046875,4.3159451874940027e-07,1344752.625,4564.232632989664,0.059861288454618064,20230.277106565183,7.327947126820149,,0.9835843763439917
Ethiopia,Ethiopia,ETH,Ethiopia,Africa,LDCs,128691692.0,1129076.695,112653319434.8363,15227142.0,25134155490.766,,,,0.0,,,,,,,,,,,,,,,,,,0.008773501050868148,875.3736755192892,0.11832264976359158,195.3051910356886,
Europa Island,Europa Island,ATF-4,France,Africa,Developing economies,,127985.5126,,,,,,6.7230182021,1.0,,,,,1245.5488,10.925692694655242,1245.548828125,10.925692694655242,,2542852.5,25496.097306990407,,,1245.548828125,10.925692694655242,2542852.5,25496.097306990407,,,,,
Faeroe,Faeroe,FRO,Denmark,Europe,Developed economies,54714.0,266742.342,3169430571.8820496,797616.0,,,,,0.0,,,,,,,,,,,,,,,,,,4.875211865336111,57927.23200427769,14.577914244983003,,
Falkland Islands,Falkland / Malvinas Islands,FLK,United Kingdom,Americas,Developing economies,,562938.29,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Federal Republic of Somalia,Federal Republic of Somalia,SOM,Federal Republic of Somalia,Africa,LDCs,18358615.0,1454124.33,9236430682.686113,557614.0,2282239463.9605,,,34.6370844949,1.0,,,,,6417.085,56.289322475148296,6417.0849609375,56.289322475148296,12000000.0,13100812.0,131356.2528280116,24621208000.0,83566977.93726042,12006418.0,56.289293366921804,24634308608.0,83610810.93195689,0.07920664657982097,503.1115191797482,0.03037342413902138,124.31435944162997,1341.839164228892
Fiji,Fiji,FJI,Fiji,Oceania,SIDS,924145.0,1315157.77,5336367607.302078,1146151.0,2527499695.4290004,,1736.2949932675,487.2593668274,1.0,,,379836.71875,2403.857573006114,90272.74,791.8535914984781,470109.4375,2529.374377824564,2835137.0,964491520.0,6567425.54070152,5817041400.0,19743654.500195324,3305246.5,2529.374377824564,6781532672.0,23733532.80068617,1.423107596751592,5774.383465042908,1.2402285355653062,2734.960093306787,7338.169521016724
Finland,Finland,FIN,Finland,Europe,Developed economies,5601185.0,420076.1537,256537132518.7499,31622000.0,,133.2318237148,,,1.0,22382.947,0.0,,,,,22382.947265625,0.0,,45924596.0,155872.9293110444,,,22382.947265625,0.0,45924596.0,155872.9293110444,0.07499772881988366,45800.51052031845,5.64559106689031,,8.199085729180522
France,France,FRA,France,Europe,Developed economies,66438822.0,897522.0351,2656973944325.3457,272475840.0,,800.792595264,1094.5051404912,,1.0,134533.14,0.00011048819679984647,239436.984375,1515.3153143223924,,,373970.15625,1515.315425045581,44719481.0,767840832.0,4294504.786635203,91753960000.0,311422644.7450198,45093448.0,1515.3153696839877,92521807872.0,314070690.9640233,0.01350899982994882,39991.286183932425,4.101153990960285,,1392.5865192492427
French Guiana,French Guiana,GUF,France,Americas,Developing economies,303402.0,214504.1101,,,,,,635.7043780956,1.0,,,,,117774.6,1033.0941946922533,117774.6015625,1033.0941946922533,,240442992.0,2410819.093691106,,,117774.6015625,1033.0941946922533,240442992.0,2410819.093691106,0.7069963615928702,,,,792.4898056044456
French Polynesia,French Polynesia,PYF,France,Oceania,SIDS,281118.0,4774877.62,5899733908.231991,916154.0,,,785.2108340843,1.2587179809,1.0,,,171774.90625,1087.1049992154972,233.19804,2.045564317411905,172008.09375,1087.1027227420275,,353306432.0,2722492.1495754174,,,172008.09375,1087.1027227420275,353306432.0,2722492.1495754174,16.98531442312481,20986.68142286154,3.2589659858137865,,1256.7905007861468
Gabon,Gabon,GAB,Gabon,Africa,Developing economies,2484789.0,463413.3578,16214753599.298986,5410930.0,5729015342.809,,,1743.9924236951,1.0,,,,,323103.1,2834.192087206398,323103.09375,2834.192087206398,4000000.0,659631616.0,6613844.762201528,8207069000.0,27855659.492069438,4323103.0,2834.1922056038393,8866701312.0,30698210.450989842,0.18650008423250425,6525.605835867346,2.1776215203785916,2305.6345399182787,3568.3920493852797
Galapagos,Galapagos,EC-W,Ecuador,Americas,,,849472.6397000002,,,,,,50.2139757278,1.0,,,,,9302.958,81.60359316721838,9302.9580078125,81.60359316721838,,18992470.0,190429.40307890615,,,9302.9580078125,81.60359316721838,18992470.0,190429.40307890615,,,,,
Gambia,Gambia,GMB,Gambia,Africa,LDCs,2697845.0,33723.36947,1962179256.1582973,710899.0,1000411697.0015,,,610.5583841905,1.0,,,,,113115.91,992.2290023299123,113115.90625,992.2290023299123,0.0,230931984.0,2315456.5402145823,0.0,0.0,113115.90625,992.2290023299123,230931984.0,2315456.5402145823,0.012500113783408609,727.3135618088872,0.2635062429457586,370.8188190950555,85.59868487626235
Georgia,Georgia,GEO,Georgia,Asia,Developing economies,3807492.0,92515.43535,22887810113.831554,11768941.0,18472995944.99,,,,0.0,,,,,,,,,,,,,,,,,,0.02429826125701643,6011.256258406204,3.0909955950005936,4851.749115950868,
Germany,Germany,DEU,Germany,Europe,Developed economies,84548231.0,414273.458,3622499230389.373,596151360.0,,202.8151075803,317.2246646485,,1.0,34072.938,0.0,69396.953125,439.1897174230682,,,103469.890625,439.1897174230682,119.99999999999999,212452960.0,1224015.4669745176,246212.1,835.6697679181955,103589.890625,439.1897174230682,212699184.0,1224512.5363497974,0.00489984773306493,42845.358058282414,7.051021091145006,,2.5157141844871953
Ghana,Ghana,GHA,Ghana,Africa,Developing economies,33787914.0,466117.5817,70508824388.01715,19647176.0,33025195621.8555,,2713.6813560531,178.0888239632,1.0,,,593652.5,3757.0249738347893,32993.86,289.4152162227291,626646.3125,3767.5623040310165,3000000.0,1286737024.0,9535778.067513626,6155302000.0,20891744.484315105,3626646.25,3767.5623040310165,7442039296.0,26686351.46276409,0.01379539387071957,2086.80608066,0.5814853204610382,977.4262957415926,220.25743572095038
Gibraltar,Gibraltar,GIB,United Kingdom,Europe,Developed economies,38471.0,394.8886291,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.010264579270099555,,,,
Glorioso Islands,Glorioso Islands,FR-GLO,Madagascar,Africa,,,43537.67295,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Grand Duchy of Luxembourg,Grand Duchy of Luxembourg,LUX,Grand Duchy of Luxembourg,Europe,Developed economies,665098.0,2595.470758,70870003856.63783,6993124.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.003902388457039414,106555.73142099034,10.514426445426087,,
Greece,Greece,GRC,Greece,Europe,Developed economies,10242908.0,615356.1362,215793609025.3217,55196200.0,,,626.4317346594,,1.0,,,137039.953125,867.2793413620767,,,137039.953125,867.2793413620767,10113005.0,281483808.0,2171369.9961114437,20749533000.0,70426108.23543957,10250045.0,867.2793413620767,21031018496.0,71421405.87396678,0.06007631194188213,21067.611758821,5.388723592948409,,2053.2273155240678
Greenland,Greenland,GRL,Denmark,Americas,Developed economies,55922.0,4437543.214,2713483852.1753616,596405.0,,,,,0.0,,,,,,,,,,,,,,,,,,79.35236962197345,48522.65391394016,10.664944029183506,,
Grenada,Grenada,GRD,Grenada,Caribbean,SIDS,117081.0,25929.44268,1152594316.5676591,339363.0,548992148.845,,10.2293264417,1.9255285289,1.0,,,2237.7958984375,14.162249707791458,356.73557,3.1292095867218417,2594.531494140625,14.497551975097846,138794.0,5324788.0,37308.43571282304,284773000.0,966549.5797842627,141388.515625,14.497551268736366,290097792.0,985339.6705074874,0.22146584569656905,9844.418108554411,2.8985317856868322,4688.994361553113,2477.7529402721193
Guadeloupe,Guadeloupe,GLP,France,Caribbean,SIDS,376517.0,92355.18888,,,,,758.3848122393,34.1929994847,1.0,,,165906.375,1049.96508381722,6334.811,55.56763254349896,172241.171875,1051.3203205940351,,353709056.0,2652221.0077261967,,,172241.171875,1051.3203205940351,353709056.0,2652221.0077261967,0.24528823102276923,,,,939.4238666514394
Guam,Guam,GUM,United States,Oceania,SIDS,166506.0,208784.2053,5719850773.430391,,,0.0799664038,473.2691110017,0.5224856718,0.0,13.434357,6.743664355459379e-09,103533.671875,655.2293884548027,96.798996,0.8491004466954595,103643.8984375,655.2282041585024,,212886176.0,1640824.0116770042,,,103643.8984375,655.2282041585024,212886176.0,1640824.0116770042,1.2539140049007242,34352.22018083667,,,1278.5495777929925
Guatemala,Guatemala,GTM,Guatemala,Americas,Developing economies,18124838.0,218931.7525,80906407059.09987,20382320.0,19150458164.958,,0.1797344864,248.9808509726,1.0,,,39.3192138671875,0.24883795131832445,46127.766,404.6230842273022,46167.0859375,404.62263069391395,2857422.0,94252984.0,944322.7873619512,5862765000.0,19898842.61891414,2903589.25,404.6226177358097,5957018112.0,20233147.214650784,0.012079101203552826,4463.841666286886,1.124551844270277,1056.5864459013649,328.6660058423695
Guernsey,Guernsey,GGY,United Kingdom,Europe,Developed economies,64016.99999999999,3768.532398,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.05886768199072122,,,,
Guinea,Guinea,GIN,Guinea,Africa,LDCs,14405468.0,346871.3948,14755537829.156134,4042787.0,3898922758.4445,,12808.1078549931,2184.5761293394,1.0,,,2801937.25,17732.50855624338,404728.38,3550.1923105158457,3206665.5,18077.245759492725,1000000.0,6581530112.0,46424538.87303803,2051767300.0,6963914.8730173595,4206665.5,18077.245759492725,8633296896.0,50180280.31380228,0.024079147917998915,1024.3011771055362,0.2806425310166945,270.65575088879444,599.3069365049438
Guinea-Bissau,Guinea-Bissau,GNB,Guinea-Bissau,Africa,SIDS,2153339.0,140611.56,1617578278.9288015,298003.0,851667801.516,,15319.1062725608,2675.5202435335,1.0,,,3351250.25,21208.925584699184,495683.78,4348.034137185294,3846933.75,21641.270517255172,1000000.0,7895523840.0,55604527.581602894,2051767300.0,6963914.8730173595,4846934.0,21641.270517255172,9947290624.0,59307769.46639092,0.06529931422781085,751.1953663258788,0.1383911218809486,395.5103221164898,4619.472653400138
Guyana,Guyana,GUY,Guyana,Americas,SIDS,826353.0,345516.279,18982777676.395844,3545070.0,2229193156.5615,,,267.353039156,1.0,,,,,49531.51,434.480003930596,49531.51171875,434.480003930596,583893.0,101121144.0,1013898.5954544367,1198012700.0,4066181.1857564817,633424.5,434.480003930596,1299133696.0,4506388.710782317,0.41812189100783803,22971.75381029154,4.290018914434873,2697.628200734432,1572.129218384879
Haiti,Haiti,HTI,Haiti,Caribbean,SIDS,11637398.0,130502.8419,14187369712.67641,3522026.0,1991395422.9335,,748.6292875703,150.0431056151,1.0,,,163772.21875,1036.4587996889084,27797.934,243.83763375997128,191570.140625,1064.2669644742825,221002.0,393143552.0,2742535.331167412,453444670.0,1539039.0978224096,412572.125,1064.266885649814,846588160.0,3746645.2852881793,0.011214091148210278,1219.118716458474,0.3026472068756263,171.1203331649824,72.74720345561782
Hala'ib Triangle,Halaib Triangle,SD,Sudan,Africa,,,37610.64963,,,,,,0.6236022255,1.0,,,,,115.532486,1.013426737207769,115.53248596191406,1.013426737207769,,235865.546875,2364.9233086286717,,,115.53248596191406,1.013426737207769,235865.546875,2364.9233086286717,,,,,
Hawaii,Hawaii,US-HI,United States,Oceania,,,2491444.428,,,,1.8657893071,592.8871412703,6.9320541083,0.0,313.4526,0.0,129701.6328125,820.8376642362554,1284.2761,11.265400673860523,131299.359375,820.8917522331456,,269675776.0,2060372.3618376725,,,131299.359375,820.8917522331456,269675776.0,2060372.3618376725,,,,,
Heard and McDonald Islands,Heard and McDonald Islands,HMD,Australia,Oceania,Developed economies,,417684.5825,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Honduras,Honduras,HND,Honduras,Americas,Developing economies,10644851.0,320588.1623000001,26904206369.372776,11042214.0,9679534332.2475,,2739.1957906176,600.9931089823,1.0,,,599234.0625,3792.349196424309,111343.78,976.6842463057593,710577.875,3914.1524711498664,591886.0,1458157312.0,10106699.422637317,1214412400.0,4121843.6888563144,1302463.875,3914.1524711498664,2672569600.0,12661606.49980849,0.030116735527815287,2527.4385117624265,1.0373291274814462,909.316093973274,251.06688670419155
Howland and Baker islands,Howland and Baker Islands,UMI-1,United States,Oceania,Developed economies,,434897.4775,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Hungary,Hungary,HUN,Hungary,Europe,Developed economies,9686463.0,93001.38934,156187937314.84885,40190156.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.009601171174658902,16124.351821180637,4.149105406173543,,
Iceland,Iceland,ISL,Iceland,Europe,Developed economies,387558.0,865630.9691,22983555206.469723,3762450.0,,26.2857318694,,,1.0,4416.0034,3.452756149995202e-06,,,,,4416.00341796875,3.452756149995202e-06,8803328.0,9060610.0,30752.667947034068,18062381000.0,61305626.48323342,8807744.0,0.0,18071441408.0,61336380.08195323,2.233552059562698,59303.52413437401,9.708095304444754,,46628.99851893136
India,India,IND,India,Asia,Developing economies,1438069596.0,4804678.648,3199055012896.7896,3062324500.0,488324234282.927,,2583.230114132,3446.1750775844,1.0,,,565114.6875,3576.418452380712,638460.1,5600.438309421475,1203574.75,6638.772322846479,33290126.000000004,2464210176.0,16963304.921271503,68303598000.0,231829614.72654176,34493700.0,6638.772322846479,70767796224.0,240630504.49661878,0.0033410612819881912,2224.5481176954036,2.129468913408555,339.56926399195424,49.2102721737815
Indonesia,Indonesia,IDN,Indonesia,Asia,Developing economies,281190067.0,7906619.381,1178924195813.5652,733223940.0,306571090750.123,,17597.0823649314,,1.0,,,3849586.25,24362.72657202509,,,3849586.25,24362.72657202509,30885166.0,7907155456.0,60995908.6353116,63369175000.0,215081667.3010511,34734752.0,24362.72657202509,71276322816.0,248370793.7528292,0.028118416362836886,4192.623901659958,2.6075741146290206,1090.2628745777247,253.48094111731194
Iran,Iran,IRN,Iran,Asia,Developing economies,90608707.0,1838516.136,511846684554.5944,817879900.0,7475158764.000501,,2704.3209827839,102.63787859,1.0,,,591604.75,3744.0657887709413,19015.34,166.79858062035433,610620.125,3747.43667279918,299557.0,1253993344.0,9442844.043312078,614621250.0,2086089.6584169343,910177.0625,3747.43667279918,1868614400.0,10559847.481710758,0.020290722568196452,5648.979016493353,9.026504483724727,82.49934262940647,20.622901064022468
Iraq,Iraq,IRQ,Iraq,Asia,Developing economies,45074049.0,438531.6527,188215848693.25772,176457950.0,15350201246.447,,90.6672882819,,1.0,,,19834.626953125,125.5266291137097,,,19834.626953125,125.5266291137097,,40740872.0,314275.6181434795,,,19834.626953125,125.5266291137097,40740872.0,314275.6181434795,0.009729138216537857,4175.703156671319,3.9148457685707356,340.5551883401245,0.9038653705150829
Ireland,Ireland,IRL,Ireland,Europe,Developed economies,5196630.0,498255.4494,482999506836.7123,34432788.0,,99.0633788019,3.6013766773,,1.0,16642.645,1.3811024599980809e-05,787.8471069335938,4.986017326327589,,,17430.4921875,4.986017326327589,2719716.0,35765100.0,121980.64431123367,5580224000.0,18939870.11541966,2737146.75,4.9860247715139865,5615989248.0,19061342.099683907,0.09588049358911448,92944.75589693942,6.625984147418616,,1080.6983079418778
Islas San Félix and San Ambrosio,Islas San Félix and San Ambrosio,CHL-2,Chile,Americas,Developing economies,19658835.0,450968.2044,279676771459.2289,77287704.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.02293972172816955,14226.518074912827,3.931448837125903,,
Isle of Man,Isle of Man,IMN,United Kingdom,Europe,Developed economies,84165.0,4540.893665,7279527750.176964,,,,,,0.0,,,,,,,,,,,,,,,,,,0.05395228022337076,86491.15131202951,,,
Israel,Israel,ISR,Israel,Asia,Developed economies,9256314.0,46692.92813,416360345096.69434,59489496.0,,,17.3956373442,,1.0,,,3805.51806640625,24.083831016385687,,,3805.51806640625,24.083831016385687,20100.0,7816637.5,60297.6505884915,41240520.0,139974.6886341341,23905.51953125,24.083831016385687,49057156.0,175387.1765356335,0.0050444408141296845,44981.22525842299,6.426909890913381,,5.299858669444446
Italy,Italy,ITA,Italy,Europe,Developed economies,59499453.0,837224.5569,1984600131128.5137,313460640.0,,439.3309839357,3724.9805100926,,1.0,73807.62,5.5244098399923235e-05,814887.0625,5157.143559295412,,,888694.6875,5157.143299026446,8715967.0,1825236352.0,13149107.190071158,17883136000.0,60697255.33737926,9604661.0,5157.143559295412,19708372992.0,67961944.07045634,0.014071130316105594,33354.93069370762,5.268294483312308,,331.23620467569674
Ivory Coast,Ivory Coast,CIV,Ivory Coast,Africa,Developing economies,31165654.0,492520.1653,71993628609.49347,13195601.0,27593650912.7935,,,53.4962968508,1.0,,,,,9911.0625,86.937749419074,9911.0625,86.937749419074,3000000.0,20233946.0,202877.14666006397,6155302000.0,20891744.484315105,3009910.75,86.93775318839607,6175536128.0,20960175.805561975,0.0158032995328768,2310.0310556452137,0.42340202454920406,885.3865512590719,198.15198256388265
Jamaica,Jamaica,JAM,Jamaica,Caribbean,SIDS,2839786.0,267911.9523,15132129758.476301,7648698.0,11588811231.297,,791.6998588876,97.6693403955,1.0,,,173194.453125,1096.0888766430553,18094.838,158.72413331413978,191289.28125,1107.1985284803593,838551.0,392687680.0,2826203.0243911017,1720511500.0,5839597.676781441,1029840.3125,1107.1985284803593,2113199232.0,7604582.411222396,0.09434230336370417,5328.6162261791205,2.693406474994947,4080.874837504305,744.1403091641413
Jan Mayen,Jan Mayen,SJM-1,Norway,Europe,Developed economies,,293290.5763,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Japan,Japan,JPN,Japan,Asia,Developed economies,124370947.0,4438697.451,4616966465093.54,988784700.0,,,473.7326777891,10.2871928875,1.0,,,103635.0703125,655.8711862045509,1905.8704,16.717895427396837,105540.9375,656.0498474356625,22871261.0,216760208.0,1648656.7289166267,46926504000.0,159273513.14806375,22976800.0,656.0498474356625,47143260160.0,160025938.9574158,0.035689182707598105,37122.54812286297,7.950286814170515,,379.0536399147946
Jarvis Island,Jarvis Island,UMI-2,United States,Oceania,Developed economies,,323192.6875,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Jersey,Jersey,JEY,United Kingdom,Europe,Developed economies,103674.0,2456.817384,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.023697526708721568,,,,
Johnston Atoll,Johnston Atoll,UMI-3,United States,Oceania,Developed economies,,442448.3936,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Joint Regimes,,,,,,,377047.05997778,,,,,2.1668535853,,1.0,,,474.0269470214844,2.99995542410672,,,474.0269470214844,2.99995542410672,,973664.25,7510.859272770372,,,474.0269470214844,2.99995542410672,973664.25,7510.859272770372,,,,,
Jordan,Jordan,JOR,Jordan,Asia,Developing economies,11439213.0,89443.77602,45064321343.93934,21188884.0,33695529316.798496,,1.3705424897,,1.0,,,299.8236999511719,1.8974823377204588,,,299.8236999511719,1.8974823377204588,,615846.0625,4750.644805312452,,,299.8236999511719,1.8974823377204588,615846.0625,4750.644805312452,0.007819049791274978,3939.459938716006,1.8523026015863153,2945.6160416628745,0.05383640137656323
Juan de Nova Island,Juan de Nova Island,ATF-5,France,Africa,Developing economies,,62824.02726,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Kazakhstan,KAZ,Kazakhstan,Asia,Developing economies,20330104.0,2836835.689,232848717043.77054,255161470.0,123181664814.0375,,,,0.0,,,,,,,,,,,,,,,,,,0.13953867078102503,11453.395272536261,12.55091808679385,6059.076963602228,
Kenya,Kenya,KEN,Kenya,Africa,Developing economies,55339003.0,707484.6591,99939292457.50002,21531040.0,32397069670.921,,116.0615719036,542.0699299071,1.0,,,25389.951171875,160.68438257435028,100427.305,880.9272233380922,125817.2578125,895.1369008883761,1000000.0,257179200.0,2155861.5240569445,2051767300.0,6963914.8730173595,1125817.25,895.1369008883761,2308946432.0,8073311.010602925,0.012784557378093711,1805.946747134205,0.3890753145661117,585.4292255847291,41.723672397928816
Kerguélen,Kerguélen,ATF-6,France,Africa,Developing economies,,558169.7229000002,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Kiribati,Gilbert Islands,KIR,Kiribati,Oceania,SIDS,397590.0,3441229.2672999995,797610991.900717,206997.0,,,496.2343497951,1.4648261908,2.0,,,108557.59375,687.0242323497416,271.38297,2.380514378188067,108828.984375,687.0874818386637,25833193.0,223534336.0,1720954.5574432113,53003700000.0,179900142.93130168,25942022.0,687.0234386556132,53227229184.0,180676057.02807158,8.655220874015944,2006.114318520881,0.5206292914811741,,133874.66783369804
Kuril Islands,Kuril Islands,RU-SA,Japan,Asia,,,218735.0936,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Kuwait,KWT,Kuwait,Asia,Developing economies,4838782.0,28241.48885,116668101996.92186,99233390.0,,,1568.6025533623,,1.0,,,343151.84375,2171.691534482291,,,343151.84375,2171.691534482291,,704843328.0,5437170.644766838,,,343151.84375,2171.691534482291,704843328.0,5437170.644766838,0.005836487126305753,24111.04736624255,20.50792740817834,,145.66544390716507
Kyrgyzstan,Kyrgyzstan,KGZ,Kyrgyzstan,Asia,Developing economies,7073516.0,199637.6734,8975322159.940475,10152343.0,7636864478.799,,,,0.0,,,,,,,,,,,,,,,,,,0.02822325889981729,1268.862919083024,1.4352611911813022,1079.6419317916295,
Laos,Laos,LAO,Laos,Asia,LDCs,7664993.0,229724.7134,20303702352.29504,24796292.0,15166926309.996,,,,0.0,,,,,,,,,,,,,,,,,,0.02997063577227011,2648.8872660803527,3.235005172216074,1978.7267007283633,
Latvia,Latvia,LVA,Latvia,Europe,Developed economies,1882396.0,92872.99497,31886638241.206627,6512889.0,,0.7129094665,,,1.0,119.76879,0.0,,,,,119.76879119873047,0.0,,245737.671875,834.0596929058775,,,119.76879119873047,0.0,245737.671875,834.0596929058775,0.049337649979069226,16939.38907711588,3.4598931361945096,,0.1305451519632426
Lebanon,Lebanon,LBN,Lebanon,Asia,Developing economies,5773493.0,29064.42192,33944395264.176895,19475458.0,50053828102.414,,,,0.0,,,,,,,,,40900.0,,,83917290.0,284824.133784501,40900.0,0.0,83917288.0,284824.133784501,0.005034113996500905,5879.351592558767,3.373253938300436,8669.591892189703,14.53492504450945
Lesotho,Lesotho,LSO,Lesotho,Africa,LDCs,2311472.0,30561.65539,2215449329.508964,3888782.0,1340588590.6115,,,,0.0,,,,,,,,,,,,,,,,,,0.013221728573826549,958.4582160237995,1.6823833470619587,579.9718061094835,
