run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc
bhm_lr,bootstrap,expected,SSP3,rcp45,,,5.0,259.5812917324624,169,ssp3_rcp45,fixed_dr5p0,5.559069916487552
bhm_lr,bootstrap,expected,SSP3,rcp85,1.0,0p7,,1979.4904714147187,169,ssp3_rcp85,ramsey_prtp1p0_eta0p7,7.590594752902227
bhm_lr,bootstrap,expected,SSP3,rcp85,1.0,1p5,,3234.8963583556733,169,ssp3_rcp85,ramsey_prtp1p0_eta1p5,8.081752168819213
bhm_lr,bootstrap,expected,SSP3,rcp85,2.0,0p7,,939.5531369503625,169,ssp3_rcp85,ramsey_prtp2p0_eta0p7,6.845404376009176
bhm_lr,bootstrap,expected,SSP3,rcp85,2.0,1p5,,1347.6572206548954,169,ssp3_rcp85,ramsey_prtp2p0_eta1p5,7.206122971787742
bhm_lr,bootstrap,expected,SSP3,rcp85,,,3.0,480.6901459950682,169,ssp3_rcp85,fixed_dr3p0,6.1752228754076475
bhm_lr,bootstrap,expected,SSP3,rcp85,,,5.0,228.5811445622241,169,ssp3_rcp85,fixed_dr5p0,5.431891265728873
bhm_lr,bootstrap,expected,SSP4,rcp45,1.0,0p7,,1980.7114729829684,169,ssp4_rcp45,ramsey_prtp1p0_eta0p7,7.591211388934472
bhm_lr,bootstrap,expected,SSP4,rcp45,1.0,1p5,,1501.587959266917,169,ssp4_rcp45,ramsey_prtp1p0_eta1p5,7.314278466637937
bhm_lr,bootstrap,expected,SSP4,rcp45,2.0,0p7,,966.5193423957468,169,ssp4_rcp45,ramsey_prtp2p0_eta0p7,6.873701311273529
bhm_lr,bootstrap,expected,SSP4,rcp45,2.0,1p5,,729.4428563264074,169,ssp4_rcp45,ramsey_prtp2p0_eta1p5,6.592281032237251
bhm_lr,bootstrap,expected,SSP4,rcp45,,,3.0,753.42310600184,169,ssp4_rcp45,fixed_dr3p0,6.624626963757447
bhm_lr,bootstrap,expected,SSP4,rcp45,,,5.0,313.60164687948657,169,ssp4_rcp45,fixed_dr5p0,5.748123539991439
bhm_lr,bootstrap,expected,SSP4,rcp60,1.0,0p7,,1984.4048106596085,169,ssp4_rcp60,ramsey_prtp1p0_eta0p7,7.593074304662823
bhm_lr,bootstrap,expected,SSP4,rcp60,1.0,1p5,,1520.9972039737022,169,ssp4_rcp60,ramsey_prtp1p0_eta1p5,7.327121453976013
bhm_lr,bootstrap,expected,SSP4,rcp60,2.0,0p7,,968.4546811525194,169,ssp4_rcp60,ramsey_prtp2p0_eta0p7,6.875701688930879
bhm_lr,bootstrap,expected,SSP4,rcp60,2.0,1p5,,731.5016307662898,169,ssp4_rcp60,ramsey_prtp2p0_eta1p5,6.595099449803271
bhm_lr,bootstrap,expected,SSP4,rcp60,,,3.0,765.1707364663426,169,ssp4_rcp60,fixed_dr3p0,6.640098993847809
bhm_lr,bootstrap,expected,SSP4,rcp60,,,5.0,320.5340914591771,169,ssp4_rcp60,fixed_dr5p0,5.769988640311296
bhm_lr,bootstrap,expected,SSP5,rcp45,1.0,0p7,,2581.3185433878803,169,ssp5_rcp45,ramsey_prtp1p0_eta0p7,7.856055610695913
bhm_lr,bootstrap,expected,SSP5,rcp45,1.0,1p5,,1321.8374459150268,169,ssp5_rcp45,ramsey_prtp1p0_eta1p5,7.186778052121407
bhm_lr,bootstrap,expected,SSP5,rcp45,2.0,0p7,,1263.6436941065547,169,ssp5_rcp45,ramsey_prtp2p0_eta0p7,7.141754647395104
bhm_lr,bootstrap,expected,SSP5,rcp45,2.0,1p5,,669.2122198038908,169,ssp5_rcp45,ramsey_prtp2p0_eta1p5,6.506101229262584
bhm_lr,bootstrap,expected,SSP5,rcp45,,,3.0,1582.839260148006,169,ssp5_rcp45,fixed_dr3p0,7.366975513441712
bhm_lr,bootstrap,expected,SSP5,rcp45,,,5.0,575.7306633225788,169,ssp5_rcp45,fixed_dr5p0,6.3556399529393675
bhm_lr,bootstrap,expected,SSP5,rcp85,1.0,0p7,,2499.908598565209,169,ssp5_rcp85,ramsey_prtp1p0_eta0p7,7.824009449614022
bhm_lr,bootstrap,expected,SSP5,rcp85,1.0,1p5,,1894.999146561423,169,ssp5_rcp85,ramsey_prtp1p0_eta1p5,7.54697366715306
bhm_lr,bootstrap,expected,SSP5,rcp85,2.0,0p7,,1211.0147746235634,169,ssp5_rcp85,ramsey_prtp2p0_eta0p7,7.099213943828432
bhm_lr,bootstrap,expected,SSP5,rcp85,2.0,1p5,,865.5685642879672,169,ssp5_rcp85,ramsey_prtp2p0_eta1p5,6.763386590759885
bhm_lr,bootstrap,expected,SSP5,rcp85,,,3.0,1156.2387037151104,169,ssp5_rcp85,fixed_dr3p0,7.052927519019006
bhm_lr,bootstrap,expected,SSP5,rcp85,,,5.0,480.9684749804985,169,ssp5_rcp85,fixed_dr5p0,6.1758017273767996
bhm_lr,bootstrap,uncertain,SSP1,rcp45,1.0,0p7,,1991.8206023013877,169,ssp1_rcp45,ramsey_prtp1p0_eta0p7,7.596804375003332
bhm_lr,bootstrap,uncertain,SSP1,rcp45,1.0,1p5,,1282.366105255079,169,ssp1_rcp45,ramsey_prtp1p0_eta1p5,7.156462170234161
bhm_lr,bootstrap,uncertain,SSP1,rcp45,2.0,0p7,,989.2749134846777,169,ssp1_rcp45,ramsey_prtp2p0_eta0p7,6.896972264163406
bhm_lr,bootstrap,uncertain,SSP1,rcp45,2.0,1p5,,633.7375329664962,169,ssp1_rcp45,ramsey_prtp2p0_eta1p5,6.451634882864162
bhm_lr,bootstrap,uncertain,SSP1,rcp45,,,3.0,993.6903199666227,169,ssp1_rcp45,fixed_dr3p0,6.901425608785646
bhm_lr,bootstrap,uncertain,SSP1,rcp45,,,5.0,399.0710862419711,169,ssp1_rcp45,fixed_dr5p0,5.989139562028522
bhm_lr,bootstrap,uncertain,SSP1,rcp60,1.0,0p7,,1957.8523409508057,169,ssp1_rcp60,ramsey_prtp1p0_eta0p7,7.579603407044901
bhm_lr,bootstrap,uncertain,SSP1,rcp60,1.0,1p5,,1257.622227508598,169,ssp1_rcp60,ramsey_prtp1p0_eta1p5,7.13697809606439
bhm_lr,bootstrap,uncertain,SSP1,rcp60,2.0,0p7,,973.7930483661981,169,ssp1_rcp60,ramsey_prtp2p0_eta0p7,6.881198805056246
bhm_lr,bootstrap,uncertain,SSP1,rcp60,2.0,1p5,,619.4071012338502,169,ssp1_rcp60,ramsey_prtp2p0_eta1p5,6.428762732171236
bhm_lr,bootstrap,uncertain,SSP1,rcp60,,,3.0,1012.8218838623128,169,ssp1_rcp60,fixed_dr3p0,6.920495658445491
bhm_lr,bootstrap,uncertain,SSP1,rcp60,,,5.0,406.0102043991334,169,ssp1_rcp60,fixed_dr5p0,6.006378293273893
bhm_lr,bootstrap,uncertain,SSP1,rcp85,1.0,0p7,,1919.4192031335654,169,ssp1_rcp85,ramsey_prtp1p0_eta0p7,7.559777920892032
bhm_lr,bootstrap,uncertain,SSP1,rcp85,1.0,1p5,,1790.9763636879977,169,ssp1_rcp85,ramsey_prtp1p0_eta1p5,7.4905162047028275
bhm_lr,bootstrap,uncertain,SSP1,rcp85,2.0,0p7,,951.3816307518392,169,ssp1_rcp85,ramsey_prtp2p0_eta0p7,6.857915276214393
bhm_lr,bootstrap,uncertain,SSP1,rcp85,2.0,1p5,,815.656273575879,169,ssp1_rcp85,ramsey_prtp2p0_eta1p5,6.703993032857518
bhm_lr,bootstrap,uncertain,SSP1,rcp85,,,3.0,774.2692398631634,169,ssp1_rcp85,fixed_dr3p0,6.6519196682225274
bhm_lr,bootstrap,uncertain,SSP1,rcp85,,,5.0,346.62276123760677,169,ssp1_rcp85,fixed_dr5p0,5.848237045170351
bhm_lr,bootstrap,uncertain,SSP2,rcp45,1.0,0p7,,2129.800039539974,169,ssp2_rcp45,ramsey_prtp1p0_eta0p7,7.6637833761463945
bhm_lr,bootstrap,uncertain,SSP2,rcp45,1.0,1p5,,1513.1218641089322,169,ssp2_rcp45,ramsey_prtp1p0_eta1p5,7.321930255230155
bhm_lr,bootstrap,uncertain,SSP2,rcp45,2.0,0p7,,1032.8884027283827,169,ssp2_rcp45,ramsey_prtp2p0_eta0p7,6.94011443107501
bhm_lr,bootstrap,uncertain,SSP2,rcp45,2.0,1p5,,738.1709823442384,169,ssp2_rcp45,ramsey_prtp2p0_eta1p5,6.604175481159297
bhm_lr,bootstrap,uncertain,SSP2,rcp45,,,3.0,856.1411411847931,169,ssp2_rcp45,fixed_dr3p0,6.752435247111451
bhm_lr,bootstrap,uncertain,SSP2,rcp45,,,5.0,338.8010488028016,169,ssp2_rcp45,fixed_dr5p0,5.825413058413018
bhm_lr,bootstrap,uncertain,SSP2,rcp60,1.0,0p7,,2097.843894699839,169,ssp2_rcp60,ramsey_prtp1p0_eta0p7,7.648665379467162
bhm_lr,bootstrap,uncertain,SSP2,rcp60,1.0,1p5,,1487.3093720006289,169,ssp2_rcp60,ramsey_prtp1p0_eta1p5,7.304723975930564
bhm_lr,bootstrap,uncertain,SSP2,rcp60,2.0,0p7,,1016.3159335116882,169,ssp2_rcp60,ramsey_prtp2p0_eta0p7,6.923939537981748
bhm_lr,bootstrap,uncertain,SSP2,rcp60,2.0,1p5,,720.6418842187212,169,ssp2_rcp60,ramsey_prtp2p0_eta1p5,6.580142320714114
bhm_lr,bootstrap,uncertain,SSP2,rcp60,,,3.0,871.102049028424,169,ssp2_rcp60,fixed_dr3p0,6.769759133053079
bhm_lr,bootstrap,uncertain,SSP2,rcp60,,,5.0,344.83171745476415,169,ssp2_rcp60,fixed_dr5p0,5.843056522536758
bhm_lr,bootstrap,uncertain,SSP2,rcp85,1.0,0p7,,2047.6314476587963,169,ssp2_rcp85,ramsey_prtp1p0_eta0p7,7.624439012767306
bhm_lr,bootstrap,uncertain,SSP2,rcp85,1.0,1p5,,2154.1477945031033,169,ssp2_rcp85,ramsey_prtp1p0_eta1p5,7.675150469337946
bhm_lr,bootstrap,uncertain,SSP2,rcp85,2.0,0p7,,988.3213446851377,169,ssp2_rcp85,ramsey_prtp2p0_eta0p7,6.896007892523337
bhm_lr,bootstrap,uncertain,SSP2,rcp85,2.0,1p5,,963.1518487538596,169,ssp2_rcp85,ramsey_prtp2p0_eta1p5,6.870211082393278
bhm_lr,bootstrap,uncertain,SSP2,rcp85,,,3.0,659.7582053552297,169,ssp2_rcp85,fixed_dr3p0,6.491873412373513
bhm_lr,bootstrap,uncertain,SSP2,rcp85,,,5.0,293.64536118596806,169,ssp2_rcp85,fixed_dr5p0,5.682372784758679
bhm_lr,bootstrap,uncertain,SSP3,rcp45,1.0,0p7,,2090.2579060601647,169,ssp3_rcp45,ramsey_prtp1p0_eta0p7,7.645042737374486
bhm_lr,bootstrap,uncertain,SSP3,rcp45,1.0,1p5,,2160.888514380209,169,ssp3_rcp45,ramsey_prtp1p0_eta1p5,7.678274765347399
bhm_lr,bootstrap,uncertain,SSP3,rcp45,2.0,0p7,,977.8407027400306,169,ssp3_rcp45,ramsey_prtp2p0_eta0p7,6.885346776134411
bhm_lr,bootstrap,uncertain,SSP3,rcp45,2.0,1p5,,967.7926742867535,169,ssp3_rcp45,ramsey_prtp2p0_eta1p5,6.875017884881049
bhm_lr,bootstrap,uncertain,SSP3,rcp45,,,3.0,565.00230043521,169,ssp3_rcp45,fixed_dr3p0,6.336829802704895
bhm_lr,bootstrap,uncertain,SSP3,rcp45,,,5.0,246.52038051481154,169,ssp3_rcp45,fixed_dr5p0,5.507444669638249
bhm_lr,bootstrap,uncertain,SSP3,rcp60,1.0,0p7,,2053.849425161477,169,ssp3_rcp60,ramsey_prtp1p0_eta0p7,7.627471079700786
bhm_lr,bootstrap,uncertain,SSP3,rcp60,1.0,1p5,,2120.23549215267,169,ssp3_rcp60,ramsey_prtp1p0_eta1p5,7.6592824427010875
bhm_lr,bootstrap,uncertain,SSP3,rcp60,2.0,0p7,,963.8656021084249,169,ssp3_rcp60,ramsey_prtp2p0_eta0p7,6.870951867991132
bhm_lr,bootstrap,uncertain,SSP3,rcp60,2.0,1p5,,945.8796501868163,169,ssp3_rcp60,ramsey_prtp2p0_eta1p5,6.852115341283099
bhm_lr,bootstrap,uncertain,SSP3,rcp60,,,3.0,575.1527171217595,169,ssp3_rcp60,fixed_dr3p0,6.354635600527608
bhm_lr,bootstrap,uncertain,SSP3,rcp60,,,5.0,250.12875796406684,169,ssp3_rcp60,fixed_dr5p0,5.521975817135129
bhm_lr,bootstrap,uncertain,SSP3,rcp85,1.0,0p7,,1902.135027876252,169,ssp3_rcp85,ramsey_prtp1p0_eta0p7,7.5507322331597475
bhm_lr,bootstrap,uncertain,SSP3,rcp85,1.0,1p5,,3014.58122067016,169,ssp3_rcp85,ramsey_prtp1p0_eta1p5,8.011216200897117
bhm_lr,bootstrap,uncertain,SSP3,rcp85,2.0,0p7,,908.4151770803176,169,ssp3_rcp85,ramsey_prtp2p0_eta0p7,6.811701517577873
bhm_lr,bootstrap,uncertain,SSP3,rcp85,2.0,1p5,,1264.8692027378997,169,ssp3_rcp85,ramsey_prtp2p0_eta1p5,7.142723998770639
bhm_lr,bootstrap,uncertain,SSP3,rcp85,,,3.0,455.98784493552716,169,ssp3_rcp85,fixed_dr3p0,6.122466153315971
bhm_lr,bootstrap,uncertain,SSP3,rcp85,,,5.0,220.52543981893677,169,ssp3_rcp85,fixed_dr5p0,5.396013061560422
bhm_lr,bootstrap,uncertain,SSP4,rcp45,1.0,0p7,,1887.936241650523,169,ssp4_rcp45,ramsey_prtp1p0_eta0p7,7.5432395758229935
bhm_lr,bootstrap,uncertain,SSP4,rcp45,1.0,1p5,,1391.0403093993862,169,ssp4_rcp45,ramsey_prtp1p0_eta1p5,7.237807170223472
bhm_lr,bootstrap,uncertain,SSP4,rcp45,2.0,0p7,,923.2646031460501,169,ssp4_rcp45,ramsey_prtp2p0_eta0p7,6.8279158707167635
bhm_lr,bootstrap,uncertain,SSP4,rcp45,2.0,1p5,,681.1801130393436,169,ssp4_rcp45,ramsey_prtp2p0_eta1p5,6.523826754350846
bhm_lr,bootstrap,uncertain,SSP4,rcp45,,,3.0,698.2017100406509,169,ssp4_rcp45,fixed_dr3p0,6.548508043881129
bhm_lr,bootstrap,uncertain,SSP4,rcp45,,,5.0,297.75689801131756,169,ssp4_rcp45,fixed_dr5p0,5.696277375091548
bhm_lr,bootstrap,uncertain,SSP4,rcp60,1.0,0p7,,1855.8794599729092,169,ssp4_rcp60,ramsey_prtp1p0_eta0p7,7.526113965101769
bhm_lr,bootstrap,uncertain,SSP4,rcp60,1.0,1p5,,1367.5427350327122,169,ssp4_rcp60,ramsey_prtp1p0_eta1p5,7.22077078428881
bhm_lr,bootstrap,uncertain,SSP4,rcp60,2.0,0p7,,909.6889722395858,169,ssp4_rcp60,ramsey_prtp2p0_eta0p7,6.813102752340101
bhm_lr,bootstrap,uncertain,SSP4,rcp60,2.0,1p5,,663.2485843949922,169,ssp4_rcp60,ramsey_prtp2p0_eta1p5,6.497149858669537
bhm_lr,bootstrap,uncertain,SSP4,rcp60,,,3.0,712.1507239579333,169,ssp4_rcp60,fixed_dr3p0,6.568289579960761
bhm_lr,bootstrap,uncertain,SSP4,rcp60,,,5.0,302.61754288125843,169,ssp4_rcp60,fixed_dr5p0,5.71246977350483
bhm_lr,bootstrap,uncertain,SSP4,rcp85,1.0,0p7,,1792.0409870898209,169,ssp4_rcp85,ramsey_prtp1p0_eta0p7,7.4911104655332545
bhm_lr,bootstrap,uncertain,SSP4,rcp85,1.0,1p5,,2002.9421851668392,169,ssp4_rcp85,ramsey_prtp1p0_eta1p5,7.602372471128842
bhm_lr,bootstrap,uncertain,SSP4,rcp85,2.0,0p7,,880.5400849491745,169,ssp4_rcp85,ramsey_prtp2p0_eta0p7,6.780535452112029
bhm_lr,bootstrap,uncertain,SSP4,rcp85,2.0,1p5,,897.4323714202361,169,ssp4_rcp85,ramsey_prtp2p0_eta1p5,6.799537765345306
bhm_lr,bootstrap,uncertain,SSP4,rcp85,,,3.0,563.2154849463757,169,ssp4_rcp85,fixed_dr3p0,6.3336622990439455
bhm_lr,bootstrap,uncertain,SSP4,rcp85,,,5.0,265.23581486012876,169,ssp4_rcp85,fixed_dr5p0,5.58061929768567
bhm_lr,bootstrap,uncertain,SSP5,rcp45,1.0,0p7,,2465.4194886665255,169,ssp5_rcp45,ramsey_prtp1p0_eta0p7,7.810117249956187
bhm_lr,bootstrap,uncertain,SSP5,rcp45,1.0,1p5,,1223.3081377352225,169,ssp5_rcp45,ramsey_prtp1p0_eta1p5,7.109314056311643
bhm_lr,bootstrap,uncertain,SSP5,rcp45,2.0,0p7,,1208.576510288304,169,ssp5_rcp45,ramsey_prtp2p0_eta0p7,7.097198508266391
bhm_lr,bootstrap,uncertain,SSP5,rcp45,2.0,1p5,,625.3129877298967,169,ssp5_rcp45,ramsey_prtp2p0_eta1p5,6.438252304755594
bhm_lr,bootstrap,uncertain,SSP5,rcp45,,,3.0,1453.5520506826795,169,ssp5_rcp45,fixed_dr3p0,7.281765529940945
