Continent,cBCW,PCW,Total BCW,Population,cBCW_per_capita,PCW_PCAP,Total BCW_per_capita
Africa,43107834064.296875,323200300000.000000,366308127572.046875,1479900930.000000,29.128865,218.393200,247.522061
Americas,34580563750.570312,674221839644.000000,708802367980.070312,1017200349.000000,33.995824,662.821086,696.816875
Asia,53818429353.687500,315027553629.936218,368845993287.375000,4769847844.000000,11.283050,66.045619,77.328671
Caribbean,45701131562.921875,12472102310.000000,58173234921.640625,44309064.000000,1031.417219,281.479706,1312.896949
Europe,10668659308.335938,399161047767.520996,409829716252.839844,743902347.000000,14.341478,536.577213,550.918703
Oceania,40744867279.966492,362875052000.000000,403619904623.156921,45827843.000000,889.085425,7918.222378,8807.307484
